,0
2020-01-02,7.159999847412109
2020-01-03,7.190000057220459
2020-01-06,7.0
2020-01-07,7.099999904632568
2020-01-08,6.860000133514404
2020-01-09,6.949999809265137
2020-01-10,7.0
2020-01-13,7.019999980926514
2020-01-14,7.110000133514404
2020-01-15,7.039999961853027
2020-01-16,7.070000171661377
2020-01-17,7.150000095367432
2020-01-20,7.050000190734863
2020-01-21,6.929999828338623
2020-01-22,6.789999961853027
2020-01-23,6.659999847412109
2020-01-24,6.710000038146973
2020-01-28,6.360000133514404
2020-01-29,6.510000228881836
2020-01-30,6.519999980926514
2020-01-31,6.409999847412109
2020-02-03,6.369999885559082
2020-02-04,6.510000228881836
2020-02-05,6.559999942779541
2020-02-06,6.659999847412109
2020-02-07,6.480000019073486
2020-02-10,6.420000076293945
2020-02-11,6.409999847412109
2020-02-12,6.46999979019165
2020-02-13,6.46999979019165
2020-02-14,6.429999828338623
2020-02-17,6.349999904632568
2020-02-18,6.230000019073486
2020-02-19,6.300000190734863
2020-02-20,6.670000076293945
2020-02-21,6.510000228881836
2020-02-24,6.019999980926514
2020-02-25,5.900000095367432
2020-02-26,5.71999979019165
2020-02-27,5.639999866485596
2020-02-28,5.53000020980835
2020-03-02,5.309999942779541
2020-03-03,5.230000019073486
2020-03-04,5.070000171661377
2020-03-05,5.070000171661377
2020-03-06,4.659999847412109
2020-03-09,4.150000095367432
2020-03-10,4.449999809265137
2020-03-11,4.039999961853027
2020-03-12,3.640000104904175
2020-03-13,3.180000066757202
2020-03-16,3.0199999809265137
2020-03-17,2.859999895095825
2020-03-18,2.5299999713897705
2020-03-19,2.140000104904175
2020-03-20,2.359999895095825
2020-03-23,2.4100000858306885
2020-03-24,2.5899999141693115
2020-03-25,3.2699999809265137
2020-03-26,3.25
2020-03-27,3.109999895095825
2020-03-30,3.200000047683716
2020-03-31,3.2300000190734863
2020-04-01,3.380000114440918
2020-04-02,3.200000047683716
2020-04-03,3.049999952316284
2020-04-06,3.049999952316284
2020-04-07,3.180000066757202
2020-04-08,3.25
2020-04-09,3.559999942779541
2020-04-14,3.680000066757202
2020-04-15,3.549999952316284
2020-04-16,3.470000028610229
2020-04-17,3.7200000286102295
2020-04-20,3.5899999141693115
2020-04-21,3.5899999141693115
2020-04-22,3.359999895095825
2020-04-23,3.3399999141693115
2020-04-24,3.390000104904175
2020-04-27,3.539999961853028
2020-04-28,3.5
2020-04-29,3.670000076293945
2020-04-30,3.859999895095825
2020-05-01,3.619999885559082
2020-05-04,3.559999942779541
2020-05-05,3.619999885559082
2020-05-06,3.5
2020-05-07,3.4600000381469727
2020-05-08,3.400000095367432
2020-05-11,3.5299999713897705
2020-05-12,3.539999961853028
2020-05-13,3.549999952316284
2020-05-14,3.3299999237060547
2020-05-15,3.3499999046325684
2020-05-18,3.380000114440918
2020-05-19,3.5
2020-05-20,3.5299999713897705
2020-05-21,3.630000114440918
2020-05-22,3.5999999046325684
2020-05-25,3.859999895095825
2020-05-26,4.070000171661377
2020-05-27,4.090000152587891
2020-05-28,4.090000152587891
2020-05-29,3.990000009536743
2020-06-01,4.010000228881836
2020-06-02,3.9800000190734863
2020-06-03,4.190000057220459
2020-06-04,4.489999771118164
2020-06-05,4.630000114440918
2020-06-09,4.929999828338623
2020-06-10,4.949999809265137
2020-06-11,4.630000114440918
2020-06-12,4.489999771118164
2020-06-15,4.329999923706055
2020-06-16,4.519999980926514
2020-06-17,4.519999980926514
2020-06-18,4.349999904632568
2020-06-19,4.369999885559082
2020-06-22,4.190000057220459
2020-06-23,4.309999942779541
2020-06-24,4.190000057220459
2020-06-25,4.190000057220459
2020-06-26,3.809999942779541
2020-06-29,3.619999885559082
2020-06-30,3.7799999713897705
2020-07-01,3.869999885559082
2020-07-02,3.910000085830689
2020-07-03,3.819999933242798
2020-07-06,3.7899999618530273
2020-07-07,3.660000085830689
2020-07-08,3.609999895095825
2020-07-09,3.609999895095825
2020-07-10,3.509999990463257
2020-07-13,3.509999990463257
2020-07-14,3.490000009536743
2020-07-15,3.640000104904175
2020-07-16,3.700000047683716
2020-07-17,3.619999885559082
2020-07-20,3.630000114440918
2020-07-21,3.799999952316284
2020-07-22,3.670000076293945
2020-07-23,3.740000009536743
2020-07-24,3.640000104904175
2020-07-27,3.680000066757202
2020-07-28,3.5899999141693115
2020-07-29,3.4800000190734863
2020-07-30,3.359999895095825
2020-07-31,3.2300000190734863
2020-08-03,3.200000047683716
2020-08-04,3.259999990463257
2020-08-05,3.240000009536743
2020-08-06,3.309999942779541
2020-08-07,3.319999933242798
2020-08-10,3.430000066757202
2020-08-11,3.559999942779541
2020-08-12,3.5999999046325684
2020-08-13,3.5999999046325684
2020-08-14,3.680000066757202
2020-08-17,3.7100000381469727
2020-08-18,3.680000066757202
2020-08-19,3.759999990463257
2020-08-20,3.759999990463257
2020-08-21,3.900000095367432
2020-08-24,3.7300000190734863
2020-08-25,3.839999914169312
2020-08-26,3.7899999618530273
2020-08-27,3.829999923706055
2020-08-28,3.890000104904175
2020-08-31,3.940000057220459
2020-09-01,3.890000104904175
2020-09-02,3.950000047683716
2020-09-03,3.9600000381469727
2020-09-04,3.890000104904175
2020-09-07,3.920000076293945
2020-09-08,4.090000152587891
2020-09-09,3.920000076293945
2020-09-10,3.910000085830689
2020-09-11,3.819999933242798
2020-09-14,3.940000057220459
2020-09-15,3.940000057220459
2020-09-16,4.039999961853027
2020-09-17,3.9600000381469727
2020-09-18,3.9800000190734863
2020-09-21,3.839999914169312
2020-09-22,3.7699999809265137
2020-09-23,3.940000057220459
2020-09-24,3.869999885559082
2020-09-25,3.880000114440918
2020-09-28,4.130000114440918
2020-09-29,4.21999979019165
2020-09-30,4.050000190734863
2020-10-01,4.130000114440918
2020-10-02,4.110000133514404
2020-10-05,4.309999942779541
2020-10-06,4.369999885559082
2020-10-07,4.340000152587891
2020-10-08,4.269999980926514
2020-10-09,4.320000171661377
2020-10-12,4.300000190734863
2020-10-13,4.300000190734863
2020-10-14,4.210000038146973
2020-10-15,4.25
2020-10-16,4.210000038146973
2020-10-19,4.320000171661377
2020-10-20,4.360000133514404
2020-10-21,4.369999885559082
2020-10-22,4.429999828338623
2020-10-23,4.550000190734863
2020-10-26,4.579999923706055
2020-10-27,4.5
2020-10-28,4.429999828338623
2020-10-29,4.349999904632568
2020-10-30,4.190000057220459
2020-11-02,4.309999942779541
2020-11-03,4.46999979019165
2020-11-04,4.570000171661377
2020-11-05,4.559999942779541
2020-11-06,4.550000190734863
2020-11-09,4.679999828338623
2020-11-10,5.070000171661377
2020-11-11,5.139999866485596
2020-11-12,5.070000171661377
2020-11-13,5.110000133514404
2020-11-16,5.190000057220459
2020-11-17,5.269999980926514
2020-11-18,5.210000038146973
2020-11-19,5.25
2020-11-20,5.269999980926514
2020-11-23,5.360000133514404
2020-11-24,5.570000171661377
2020-11-25,5.659999847412109
2020-11-26,5.53000020980835
2020-11-27,5.519999980926514
2020-11-30,5.380000114440918
2020-12-01,5.46999979019165
2020-12-02,5.550000190734863
2020-12-03,5.489999771118164
2020-12-04,5.269999980926514
2020-12-07,5.489999771118164
2020-12-08,5.400000095367432
2020-12-09,5.360000133514404
2020-12-10,5.159999847412109
2020-12-11,5.099999904632568
2020-12-14,5.070000171661377
2020-12-15,5.050000190734863
2020-12-16,5.090000152587891
2020-12-17,5.099999904632568
2020-12-18,4.920000076293945
2020-12-21,4.889999866485596
2020-12-22,4.800000190734863
2020-12-23,4.909999847412109
2020-12-24,4.889999866485596
2020-12-29,4.960000038146973
2020-12-30,4.960000038146973
